customer_id,cart_amount,average_order_value,previous_purchases,previous_abandonments,previous_reminders,previous_recoveries,purchase_frequency,cart_vs_average,minutes_since_abandonment,natural_probability,intervention_probability,natural_recovered,intervention_recovered
CUST1,3957,1412,0,5,2,1,0.0,2.8,286,0.05,0.115,0,0
CUST2,788,4967,2,4,3,0,0.5,0.16,192,0.052,0.107,0,0
CUST3,4857,2128,13,1,3,4,4.33,2.28,14,0.597,0.822,0,1
CUST4,6524,1773,6,2,0,0,1.0,3.68,199,0.26,0.4,0,0
CUST5,1591,855,14,4,0,3,2.8,1.86,1131,0.344,0.609,0,0
CUST6,4033,3462,6,5,0,0,3.0,1.16,593,0.106,0.246,0,0
CUST7,6365,3613,8,3,2,1,2.0,1.76,728,0.179,0.324,0,0
CUST8,7873,1084,5,4,1,1,1.0,7.26,778,0.089,0.219,0,0
CUST9,5468,2299,10,0,1,0,2.0,2.38,822,0.266,0.431,1,0
CUST10,7817,3077,6,5,3,3,1.2,2.54,293,0.226,0.366,1,0
CUST11,9860,4915,8,5,4,3,1.33,2.01,818,0.151,0.296,0,0
CUST12,2804,4674,15,0,0,0,5.0,0.6,1286,0.318,0.548,0,1
CUST13,8969,1020,12,3,4,3,1.33,8.79,515,0.362,0.547,0,1
CUST14,5108,1438,8,5,2,0,2.67,3.55,891,0.057,0.187,0,0
CUST15,5189,2657,5,4,0,5,0.56,1.95,1309,0.163,0.368,0,1
CUST16,619,1823,0,4,2,3,0.0,0.34,230,0.134,0.229,0,0
CUST17,1590,3019,7,0,1,4,0.58,0.53,176,0.48,0.675,0,1
CUST18,3005,4863,4,1,3,4,0.44,0.62,543,0.266,0.401,0,0
CUST19,6418,2235,6,5,2,3,0.67,2.87,898,0.125,0.28,0,1
CUST20,4070,1024,10,0,4,4,2.5,3.97,1206,0.289,0.469,1,0
CUST21,1460,982,7,0,0,2,1.75,1.49,1053,0.244,0.424,0,0
CUST22,8044,4917,4,5,4,4,0.5,1.64,498,0.155,0.275,0,1
CUST23,7951,1294,13,2,3,3,1.18,6.14,111,0.513,0.723,0,1
CUST24,4373,996,12,5,2,0,3.0,4.39,393,0.256,0.426,0,1
CUST25,7560,2003,8,3,1,0,4.0,3.77,1128,0.079,0.224,1,0
CUST26,8256,620,2,1,1,3,0.5,13.32,986,0.128,0.258,0,0
CUST27,7754,1848,12,0,3,2,1.71,4.2,585,0.403,0.588,0,0
CUST28,1258,4486,4,1,2,1,0.33,0.28,1187,0.05,0.155,0,0
CUST29,9001,968,1,4,3,4,1.0,9.3,323,0.16,0.265,0,1
CUST30,4153,2022,2,4,0,5,1.0,2.05,827,0.185,0.36,0,0
CUST31,8865,825,2,3,4,4,0.4,10.75,648,0.125,0.225,0,0
CUST32,5215,2455,8,3,1,5,1.33,2.12,937,0.318,0.538,0,0
CUST33,1500,576,14,4,4,0,3.5,2.6,1102,0.15,0.31,0,1
CUST34,2884,3359,2,1,2,2,0.22,0.86,898,0.085,0.185,0,0
CUST35,1997,4833,0,5,4,2,0.0,0.41,276,0.05,0.1,0,0
CUST36,5917,1773,8,2,4,1,0.73,3.34,417,0.227,0.342,0,1
CUST37,7239,4502,8,0,0,5,8.0,1.61,567,0.487,0.722,1,0
CUST38,7307,2645,5,5,3,4,5.0,2.76,1149,0.07,0.215,0,0
CUST39,2726,1721,1,2,4,4,0.33,1.58,881,0.079,0.169,1,0
CUST40,1984,826,11,1,1,5,1.22,2.4,725,0.485,0.735,0,1
CUST41,706,1766,7,1,1,3,0.58,0.4,368,0.376,0.556,0,0
CUST42,2071,3872,7,2,1,5,7.0,0.53,784,0.348,0.558,0,1
CUST43,687,4270,11,2,1,1,2.75,0.16,1352,0.175,0.365,0,1
CUST44,9085,1068,8,2,4,3,8.0,8.51,679,0.254,0.399,1,0
CUST45,7419,1962,8,0,0,4,0.67,3.78,708,0.418,0.638,0,1
CUST46,4473,4689,3,3,4,1,0.25,0.95,91,0.142,0.207,0,0
CUST47,5709,4910,6,2,3,0,1.0,1.16,1277,0.05,0.145,0,1
CUST48,6892,2960,9,5,3,2,1.8,2.33,1428,0.05,0.205,0,1
CUST49,6953,3605,5,4,4,2,5.0,1.93,1123,0.05,0.15,0,0
CUST50,3801,3139,14,3,3,5,1.75,1.21,1047,0.406,0.656,0,0
CUST51,5791,1890,2,2,4,5,0.5,3.06,192,0.282,0.397,0,1
CUST52,8084,2131,4,0,0,1,2.0,3.79,1252,0.09,0.225,0,0
CUST53,2717,2092,12,3,3,1,1.0,1.3,1344,0.136,0.306,1,0
CUST54,8786,1373,13,1,1,5,13.0,6.4,952,0.49,0.76,0,0
CUST55,9002,1494,14,1,3,5,1.4,6.03,1145,0.436,0.686,1,0
CUST56,8077,4125,13,4,3,1,2.6,1.96,922,0.221,0.401,0,0
CUST57,7506,2771,15,5,1,2,1.25,2.71,159,0.478,0.723,1,1
CUST58,6575,3119,2,1,1,1,0.67,2.11,1422,0.05,0.15,0,1
CUST59,1320,3839,10,4,3,3,1.43,0.34,424,0.325,0.505,0,0
CUST60,5192,660,12,3,0,2,1.71,7.87,799,0.345,0.575,0,0
CUST61,8256,2306,15,1,2,3,2.14,3.58,60,0.618,0.863,1,1
CUST62,9051,3812,5,3,1,4,0.71,2.37,56,0.379,0.554,0,0
CUST63,1123,1187,13,1,3,1,1.86,0.95,533,0.373,0.553,1,1
CUST64,1641,3264,12,2,3,2,12.0,0.5,964,0.277,0.462,0,1
CUST65,959,3366,7,5,0,5,1.75,0.28,64,0.437,0.662,1,1
CUST66,2174,1748,7,1,3,5,1.75,1.24,1156,0.259,0.439,0,1
CUST67,2176,3521,5,4,4,5,1.0,0.62,336,0.278,0.423,1,1
CUST68,10000,3055,12,3,1,0,1.09,3.27,1415,0.122,0.307,0,0
CUST69,9028,2970,3,4,0,2,0.27,3.04,878,0.079,0.219,0,0
CUST70,7402,3295,0,3,3,0,0.0,2.25,742,0.05,0.085,0,0
CUST71,4725,1753,13,1,4,5,1.44,2.7,1262,0.368,0.593,0,1
CUST72,7685,2698,10,1,0,2,1.25,2.85,500,0.405,0.615,0,0
CUST73,8288,3255,0,3,2,1,0.0,2.55,435,0.05,0.115,0,0
CUST74,4254,2763,0,4,1,0,0.0,1.54,833,0.05,0.115,0,0
CUST75,5120,4400,15,3,0,0,2.14,1.16,454,0.409,0.639,0,1
CUST76,7271,3523,15,4,4,2,2.5,2.06,1128,0.249,0.449,0,0
CUST77,3455,3011,8,1,0,5,4.0,1.15,647,0.446,0.681,0,0
CUST78,9959,2016,6,1,3,2,0.6,4.94,1075,0.13,0.255,0,1
CUST79,5252,2090,9,1,2,1,0.75,2.51,29,0.394,0.549,0,1
CUST80,8342,946,9,5,1,5,9.0,8.82,211,0.438,0.668,0,1
CUST81,8127,4108,10,1,0,2,5.0,1.98,234,0.458,0.668,1,1
CUST82,1695,939,4,1,4,2,2.0,1.81,509,0.173,0.263,0,0
CUST83,9942,2348,12,3,3,2,2.4,4.23,879,0.269,0.454,0,1
CUST84,1630,1312,6,5,1,2,1.5,1.24,322,0.221,0.376,1,1
CUST85,5071,521,13,3,4,3,3.25,9.73,67,0.477,0.672,1,1
CUST86,9963,4219,2,5,1,2,0.5,2.36,1355,0.05,0.165,0,0
CUST87,3018,1720,8,1,0,0,0.8,1.75,630,0.249,0.409,0,0
CUST88,5282,2864,14,0,3,5,2.0,1.84,1434,0.403,0.653,0,1
CUST89,7378,4545,14,0,4,0,1.4,1.62,661,0.338,0.498,1,1
CUST90,8008,669,8,4,0,1,0.73,11.97,1063,0.127,0.302,0,1
CUST91,6990,4070,15,0,3,2,2.5,1.72,683,0.458,0.673,0,0
CUST92,6861,3201,13,5,3,2,13.0,2.14,1127,0.195,0.39,0,1
CUST93,9189,3148,3,3,4,0,0.43,2.92,947,0.05,0.1,0,0
CUST94,9298,4583,14,0,1,2,2.8,2.03,269,0.556,0.791,1,1
CUST95,2894,1494,0,5,4,1,0.0,1.94,637,0.05,0.085,1,0
CUST96,2822,2340,3,3,0,5,0.25,1.21,1021,0.196,0.381,0,0
CUST97,9331,3903,15,3,1,3,2.14,2.39,297,0.541,0.801,1,1
CUST98,8618,1618,2,2,3,2,2.0,5.33,548,0.11,0.195,0,0
CUST99,5954,4511,4,3,4,3,0.44,1.32,681,0.129,0.234,0,0
CUST100,6574,3136,6,5,1,4,0.86,2.1,479,0.269,0.454,1,0
CUST101,906,3623,12,5,1,3,1.33,0.25,259,0.423,0.653,0,1
CUST102,551,1322,14,0,4,3,2.0,0.42,296,0.531,0.736,0,0
CUST103,6812,1112,15,2,2,4,7.5,6.13,1331,0.379,0.639,0,0
CUST104,888,4871,12,2,3,4,6.0,0.18,1265,0.297,0.512,1,0
CUST105,1912,2854,7,5,0,3,0.58,0.67,1298,0.11,0.305,0,0
CUST106,5106,2953,0,0,2,0,0.0,1.73,735,0.05,0.1,0,0
CUST107,6567,3875,5,1,1,0,0.45,1.69,1270,0.05,0.165,0,0
CUST108,4483,1672,7,3,2,3,7.0,2.68,1366,0.107,0.272,0,0
CUST109,9926,2856,5,0,3,2,0.45,3.48,613,0.222,0.337,0,0
CUST110,2047,4242,9,1,3,3,1.29,0.48,486,0.363,0.533,0,0
CUST111,432,2918,0,5,3,2,0.0,0.15,1160,0.05,0.115,0,0
CUST112,3888,4569,9,1,4,2,2.25,0.85,1304,0.139,0.279,0,0
CUST113,7522,1620,3,5,0,2,0.3,4.64,69,0.216,0.356,0,1
CUST114,3589,2917,10,5,3,1,1.11,1.23,271,0.251,0.401,0,1
CUST115,5135,4610,8,1,2,3,4.0,1.11,694,0.316,0.491,0,1
CUST116,6764,2348,12,4,2,0,2.4,2.88,29,0.354,0.524,0,1
